# HSK COORS  :  [0.0, 0.23401070363498697, 0.36911684621020824, 0.6393291316493259]
# HSK SYMBOL :  ['Γ', 'M', 'K', 'Γ']
# PROJ ATOMS :  [1]


# K-coors        Spin-up(eV)       dxy         dz2       Spin-up(eV)     dxy       dz2    
  0.00000000    -19.50055000    0.000000    0.000000    -19.50055000    0.000000    0.000000  
  0.00236374    -19.49994800    0.000000    0.000000    -19.49994800    0.000000    0.000000  
  0.00472749    -19.49814200    0.000000    0.000000    -19.49814200    0.000000    0.000000  
  0.00709124    -19.49514800    0.000000    0.000000    -19.49514800    0.000000    0.000000  
  0.00945498    -19.49093500    0.000000    0.000000    -19.49093400    0.000000    0.000000  
  0.01181872    -19.48551000    0.000000    0.000000    -19.48551000    0.000000    0.000000  
  0.01418247    -19.47887600    0.000000    0.000000    -19.47887500    0.000000    0.000000  
  0.01654621    -19.47104500    0.000000    0.000000    -19.47104400    0.000000    0.000000  
  0.01890996    -19.46200000    0.000000    0.000000    -19.46200000    0.000000    0.000000  
  0.02127370    -19.45176100    0.000000    0.000000    -19.45176000    0.000000    0.000000  
  0.02363744    -19.44031300    0.000000    0.000000    -19.44031300    0.000000    0.000000  
  0.02600119    -19.42766300    0.000000    0.000000    -19.42766300    0.000000    0.000000  
  0.02836493    -19.41380900    0.000000    0.000000    -19.41380900    0.000000    0.000000  
  0.03072868    -19.39875300    0.000000    0.000000    -19.39875300    0.000000    0.000000  
  0.03309242    -19.38249500    0.000000    0.000000    -19.38249500    0.000000    0.000000  
  0.03545617    -19.36503600    0.000000    0.000000    -19.36503500    0.000000    0.000000  
  0.03781991    -19.34639000    0.000000    0.000000    -19.34639000    0.000000    0.000000  
  0.04018366    -19.32653100    0.000000    0.000000    -19.32653100    0.000000    0.000000  
  0.04254740    -19.30547400    0.000000    0.000000    -19.30547400    0.000000    0.000000  
  0.04491115    -19.28321900    0.000000    0.000000    -19.28321900    0.000000    0.000000  
  0.04727489    -19.25976700    0.000000    0.000000    -19.25976700    0.000000    0.000000  
  0.04963863    -19.23512100    0.000000    0.000000    -19.23512100    0.000000    0.000000  
  0.05200237    -19.20927700    0.000000    0.000000    -19.20927700    0.000000    0.000000  
  0.05436612    -19.18225000    0.000000    0.000000    -19.18225000    0.000000    0.000000  
  0.05672986    -19.15401900    0.000000    0.000000    -19.15401900    0.000000    0.000000  
  0.05909360    -19.12459600    0.000000    0.000000    -19.12459600    0.000000    0.000000  
  0.06145734    -19.09396700    0.000000    0.000000    -19.09396700    0.000000    0.000000  
  0.06382108    -19.06216500    0.000000    0.000000    -19.06216500    0.000000    0.000000  
  0.06618483    -19.02918300    0.000000    0.000000    -19.02918300    0.000000    0.000000  
  0.06854857    -18.99500600    0.000000    0.000000    -18.99500600    0.000000    0.000000  
  0.07091236    -18.95964400    0.000000    0.000000    -18.95964400    0.000000    0.000000  
  0.07327610    -18.92309800    0.000000    0.000000    -18.92309800    0.000000    0.000000  
  0.07563984    -18.88537800    0.000000    0.000000    -18.88537800    0.000000    0.000000  
  0.07800358    -18.84649700    0.000000    0.000000    -18.84649700    0.000000    0.000000  
  0.08036733    -18.80641100    0.000000    0.000000    -18.80641100    0.000000    0.000000  
  0.08273107    -18.76515000    0.000000    0.000000    -18.76514900    0.000000    0.000000  
  0.08509481    -18.72272300    0.000000    0.000000    -18.72272200    0.000000    0.000000  
  0.08745855    -18.67915100    0.000000    0.000000    -18.67915100    0.000000    0.000000  
  0.08982229    -18.63437200    0.000000    0.000000    -18.63437200    0.000000    0.000000  
  0.09218604    -18.58842400    0.000000    0.000000    -18.58842400    0.000000    0.000000  
  0.09454978    -18.54131000    0.000000    0.000000    -18.54131000    0.000000    0.000000  
  0.09691352    -18.49303300    0.000000    0.000000    -18.49303300    0.000000    0.000000  
  0.09927726    -18.44359400    0.000000    0.000000    -18.44359400    0.000000    0.000000  
  0.10164100    -18.39299600    0.000000    0.000000    -18.39299600    0.000000    0.000000  
  0.10400475    -18.34124900    0.000000    0.000000    -18.34124900    0.000000    0.000000  
  0.10636849    -18.28834900    0.000000    0.000000    -18.28834900    0.000000    0.000000  
  0.10873223    -18.23429200    0.000000    0.000000    -18.23429200    0.000000    0.000000  
  0.11109597    -18.17910200    0.000000    0.000000    -18.17910200    0.000000    0.000000  
  0.11345972    -18.12275500    0.000000    0.000000    -18.12275500    0.000000    0.000000  
  0.11582346    -18.06526900    0.000000    0.000000    -18.06526900    0.000000    0.000000  
  0.11818725    -18.00664300    0.000000    0.000000    -18.00664300    0.000000    0.000000  
  0.12055099    -17.94688400    0.000000    0.000000    -17.94688400    0.000000    0.000000  
  0.12291473    -17.88599600    0.000000    0.000000    -17.88599600    0.000000    0.000000  
  0.12527847    -17.82398200    0.000000    0.000000    -17.82398200    0.000000    0.000000  
  0.12764221    -17.76084600    0.000000    0.000000    -17.76084600    0.000000    0.000000  
  0.13000596    -17.69659300    0.000000    0.000000    -17.69659300    0.000000    0.000000  
  0.13236970    -17.63122700    0.000000    0.000000    -17.63122700    0.000000    0.000000  
  0.13473344    -17.56475300    0.000000    0.000000    -17.56475300    0.000000    0.000000  
  0.13709718    -17.49716500    0.000000    0.000000    -17.49716500    0.000000    0.000000  
  0.13946093    -17.42851500    0.000000    0.000000    -17.42851500    0.000000    0.000000  
  0.14182467    -17.35875000    0.000000    0.000000    -17.35875000    0.000000    0.000000  
  0.14418841    -17.28790000    0.000000    0.000000    -17.28790000    0.000000    0.000000  
  0.14655215    -17.21601100    0.000000    0.000000    -17.21601100    0.000000    0.000000  
  0.14891589    -17.14301100    0.000000    0.000000    -17.14301100    0.000000    0.000000  
  0.15127964    -17.06894700    0.000000    0.000000    -17.06894700    0.000000    0.000000  
  0.15364338    -16.99385900    0.000000    0.000000    -16.99385800    0.000000    0.000000  
  0.15600712    -16.91769100    0.000000    0.000000    -16.91769000    0.000000    0.000000  
  0.15837086    -16.84048500    0.000000    0.000000    -16.84048400    0.000000    0.000000  
  0.16073460    -16.76225100    0.000000    0.000000    -16.76225100    0.000000    0.000000  
  0.16309835    -16.68300300    0.000000    0.000000    -16.68300300    0.000000    0.000000  
  0.16546214    -16.60275000    0.000000    0.000000    -16.60275000    0.000000    0.000000  
  0.16782588    -16.52150200    0.000000    0.000000    -16.52150200    0.000000    0.000000  
  0.17018962    -16.43928200    0.000000    0.000000    -16.43928200    0.000000    0.000000  
  0.17255336    -16.35610200    0.000000    0.000000    -16.35610200    0.000000    0.000000  
  0.17491710    -16.27198000    0.000000    0.000000    -16.27198000    0.000000    0.000000  
  0.17728085    -16.18693900    0.000000    0.000000    -16.18693900    0.000000    0.000000  
  0.17964459    -16.10101000    0.000000    0.000000    -16.10101000    0.000000    0.000000  
  0.18200833    -16.01420200    0.000000    0.000000    -16.01420200    0.000000    0.000000  
  0.18437207    -15.92659700    0.000000    0.000000    -15.92659700    0.000000    0.000000  
  0.18673581    -15.83816200    0.000000    0.000000    -15.83816200    0.000000    0.000000  
  0.18909956    -15.74895200    0.000000    0.000000    -15.74895200    0.000000    0.000000  
